,CountryName,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,H1_Public information campaigns,H1_Flag
4073,China,20200111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4074,China,20200112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4075,China,20200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4076,China,20200114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4077,China,20200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4078,China,20200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4079,China,20200117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4080,China,20200118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4081,China,20200119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4082,China,20200120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4083,China,20200121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4084,China,20200122,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4085,China,20200123,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4086,China,20200124,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4087,China,20200125,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4088,China,20200126,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4089,China,20200127,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4090,China,20200128,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4091,China,20200129,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4092,China,20200130,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4093,China,20200131,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
4094,China,20200201,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
4095,China,20200202,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
4096,China,20200203,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
4097,China,20200204,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
4098,China,20200205,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
4099,China,20200206,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0
