,CountryName,CountryCode,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
10600,Japan,JPN,20200213,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,81949436.0,0.0,2.0,1.0,1.0,1.0,60530834.0,0.0,,29.0,1.0,13.89,13.89,17.14,17.14
10601,Japan,JPN,20200214,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,30.0,1.0,13.89,13.89,17.14,17.14
10602,Japan,JPN,20200215,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,38.0,1.0,13.89,13.89,17.14,17.14
10603,Japan,JPN,20200216,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,52.0,1.0,13.89,13.89,17.14,17.14
10604,Japan,JPN,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,59.0,1.0,13.89,13.89,17.14,17.14
10605,Japan,JPN,20200218,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,59.0,1.0,13.89,13.89,17.14,17.14
10606,Japan,JPN,20200219,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,66.0,1.0,13.89,13.89,17.14,17.14
10607,Japan,JPN,20200220,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,84.0,1.0,21.03,21.03,26.67,26.67
10608,Japan,JPN,20200221,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,93.0,1.0,21.03,21.03,26.67,26.67
10609,Japan,JPN,20200222,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,105.0,1.0,21.03,21.03,26.67,26.67
10610,Japan,JPN,20200223,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,132.0,1.0,21.03,21.03,26.67,26.67
10611,Japan,JPN,20200224,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,144.0,1.0,21.03,21.03,26.67,26.67
10612,Japan,JPN,20200225,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,144.0,1.0,39.81,39.81,43.33,43.33
10613,Japan,JPN,20200226,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,164.0,1.0,39.81,39.81,43.33,43.33
10614,Japan,JPN,20200227,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,186.0,3.0,39.81,39.81,43.33,43.33
10615,Japan,JPN,20200228,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,210.0,3.0,39.81,39.81,43.33,43.33
10616,Japan,JPN,20200229,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,230.0,3.0,39.81,39.81,43.33,43.33
10617,Japan,JPN,20200301,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,239.0,5.0,39.81,39.81,43.33,43.33
10618,Japan,JPN,20200302,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,254.0,6.0,47.75,47.75,54.05,54.05
10619,Japan,JPN,20200303,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,254.0,6.0,47.75,47.75,54.05,54.05
10620,Japan,JPN,20200304,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,268.0,6.0,47.75,47.75,54.05,54.05
